,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,oge_id,case_id,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt,flsa_repeat_violator,flsa_bw_atp_amt,flsa_ee_atp_cnt,flsa_mw_bw_atp_amt,flsa_ot_bw_atp_amt,flsa_15a3_bw_atp_amt,flsa_cmp_assd_amt,sca_violtn_cnt,sca_bw_atp_amt,sca_ee_atp_cnt,mspa_violtn_cnt,mspa_bw_atp_amt,mspa_ee_atp_cnt,mspa_cmp_assd_amt,h1b_violtn_cnt,h1b_bw_atp_amt,h1b_ee_atp_cnt,h1b_cmp_assd_amt,fmla_violtn_cnt,fmla_bw_atp_amt,fmla_ee_atp_cnt,fmla_cmp_assd_amt,flsa_cl_violtn_cnt,flsa_cl_minor_cnt,flsa_cl_cmp_assd_amt,dbra_cl_violtn_cnt,dbra_bw_atp_amt,dbra_ee_atp_cnt,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,flsa_smw14_violtn_cnt,flsa_smw14_bw_amt,flsa_smw14_ee_atp_cnt,cwhssa_violtn_cnt,cwhssa_bw_amt,cwhssa_ee_cnt,osha_violtn_cnt,osha_bw_atp_amt,osha_ee_atp_cnt,osha_cmp_assd_amt,eppa_violtn_cnt,eppa_bw_atp_amt,eppa_ee_cnt,eppa_cmp_assd_amt,h1a_violtn_cnt,h1a_bw_atp_amt,h1a_ee_atp_cnt,h1a_cmp_assd_amt,crew_violtn_cnt,crew_bw_atp_amt,crew_ee_atp_cnt,crew_cmp_assd_amt,ccpa_violtn_cnt,ccpa_bw_atp_amt,ccpa_ee_atp_cnt,flsa_smwpw_violtn_cnt,flsa_smwpw_bw_atp_amt,flsa_smwpw_ee_atp_cnt,flsa_hmwkr_violtn_cnt,flsa_hmwkr_bw_atp_amt,flsa_hmwkr_ee_atp_cnt,flsa_hmwkr_cmp_assd_amt,ca_violtn_cnt,ca_bw_atp_amt,ca_ee_atp_cnt,pca_violtn_cnt,pca_bw_atp_amt,pca_ee_atp_cnt,flsa_smwap_violtn_cnt,flsa_smwap_bw_atp_amt,flsa_smwap_ee_atp_cnt,flsa_smwft_violtn_cnt,flsa_smwft_bw_atp_amt,flsa_smwft_ee_atp_cnt,flsa_smwl_violtn_cnt,flsa_smwl_bw_atp_amt,flsa_smwl_ee_atp_cnt,flsa_smwmg_violtn_cnt,flsa_smwmg_bw_atp_amt,flsa_smwmg_ee_atp_cnt,flsa_smwsl_violtn_cnt,flsa_smwsl_bw_atp_amt,flsa_smwsl_ee_atp_cnt,eev_violtn_cnt,h2b_violtn_cnt,h2b_bw_atp_amt,h2b_ee_atp_cnt,sraw_violtn_cnt,sraw_bw_atp_amt,sraw_ee_atp_cnt,serialid_x,nname_x,nzip,snum_x,Unnamed: 0_y,dba,location_address,location_city,location_zip_code,district,county_number,county_name,license_type_code,license_number,inspection_number,visit_number,inspection_class,inspection_type,inspection_disposition,inspection_date,number_of_critical_violations,number_of_noncritical_violations,number_of_total_violations,number_of_high_priority_violations,number_of_intermediate_violations,number_of_basic_violations,pda_status,approved_source,original_container,time_and_temperature_control,facilities_to_maintain_ph_tcs,food_and_food_equipment_thermometers,ph_tcs_foods_properly_thawed,unwrapped_or_ph_tcs_food_not_re_served,food_protection_cross_contamination,bare_hand_contact_with_rte_food_aop,in_use_food_dispensing_utensils,employee_health_knowledge,hands_washed_and_clean,clean_clothes_hair_restraints,food_contact_and_nonfood_contact,violation15,dishwashing_facilities,violation17,violation18,violation19,violation20,wiping_cloths_clean_and_soiled_linens,food_contact_surfaces_clean,non_food_contact_surfaces_clean,storage_handling_of_clean_equipment,single_service_and_single_use_items,violation26,water_source_safe_hot,sewage_and_wastewater,plumbing_installed,violation30,handwash_sinks,bathrooms,garbage_and_refuse,violation34,no_presence_or_breeding_of_pests,floors_walls_ceilings,violation37,lighting_provided_as_required,violation39,employee_personal_belongings,chemicals_toxic_substances,cleaning_and_maintenance_equip,complete_separation_from_living_area,violation44,fire_extinguishing_equipment,exits_not_blocked_or_locked,electrical_wiring_outlets_in_good_repair,gas_appliances_boiler_certificate,flammable_combustible_materials,current_license_properly_displayed,other_conditions_sanitary_and_safe_operation,misrepresentation_misbranding,food_management_certification_valid,florida_clean_indoor_air_act,automatic_gratuity_notice,violation56,violation57,violation58,license_id,inspection_visit_id,serialid_y,id,nname_y,snum_y,score,jw,match
2506,2506,2506,8702,La Quebradita Taqueria,"LA QUEBRADITA, INC.",702 N. Krome Avenue,Homestead,FL,33030.0,722110.0,112551,1727738,Full-Service Restaurants,0,0.0,0,0.0,0,2012-05-02,2014-05-01,0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,112552,la quebradita taqueria,33030,702,26168,LA QUEBRADITA,702 N KROME AVE,HOMESTEAD,330306045,D1,23,Dade,2010,2319565,2399459,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-07-02,,,8,1.0,2.0,5.0,Y,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165546,5288676,2746,2745,la quebradita,702,29.237460949834105,0.9181818181818182,1
2812,2812,2812,9427,Mamma Mia Pizzeria #2,Mamma Mia Pizzeria Restaurant #2 Inc,538 Washington Avenue,Homestead,FL,33030.0,722110.0,45893,1613791,Full-Service Restaurants,1,0.0,0,0.0,0,2009-03-25,2011-03-24,1,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,45894,mamma mia pizzeria #2,33030,538,28868,MAMMA MIA PIZZERIA & RESTAURANT 2,538 WASHINGTON AVE,HOMESTEAD,33030,D1,23,Dade,2010,2332262,2412138,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-12-29,,,10,3.0,0.0,7.0,Y,0,0,2,0,1,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904213,5309592,11505,11504,mamma mia pizzeria & restaurant 2,538,29.237460949834105,0.9116883116883115,1
2888,2888,2888,9559,Mario's,"Hercaste, Inc.",1090 N. Homestead Blvd,Homestead,FL,33030.0,722110.0,187250,1478720,Full-Service Restaurants,13,0.0,13,1373.52,13,2005-05-19,2007-05-18,13,,1373.52,13,0.0,1373.52,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,187251,mario's,33030,1090,29285,MARIO'S FAMILY RESTAURANT,1090 N HOMESTEAD BLVD,HOMESTEAD,33030,D1,23,Dade,2010,2328974,2421271,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-07-07,,,14,0.0,3.0,11.0,Y,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5317261,5322931,8277,8276,mario's family restaurant,1090,20.272238634675556,0.8560000000000001,1
4947,4947,4947,16313,White Lion Cafe,White Lion Antiques Inc,146 NW 76 Street,Homestead,FL,33030.0,7221.0,22187,1561486,Full-Service Restaurants,1,0.0,1,4885.77,1,2007-10-07,2009-10-06,1,,4885.77,1,0.0,4885.77,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,22188,white lion cafe,33030,146,52384,WHITE LION CAFE & ANTIQUES,146 NW 7 ST,HOMESTEAD,33030,D1,23,Dade,2010,2323473,2464499,1,Food,Routine - Food,Inspection Completed - No Further Action,2015-04-11,,,7,1.0,0.0,6.0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2794068,5459965,4183,4182,white lion cafe & antiques,146,29.237460949834105,0.9153846153846154,1
5919,5919,5919,5428,Fairway Inn,South Florida Motel Corporation,100 U S Hwy 1,Florida City,FL,33034.0,721110.0,55580,1619019,Hotels (except Casino Hotels) and Motels,13,0.0,13,9186.48,13,2009-07-13,2011-07-12,13,,9186.48,13,0.0,9186.48,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,55581,fairway inn,33034,100,16506,FAIRWAY INN,100 SE 1 AVE,FLORIDA CITY,33034,D1,23,Dade,2010,2333798,2424807,3,Food,Routine - Food,Call Back - Admin. complaint recommended,2015-06-16,,,3,1.0,2.0,0.0,Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5471370,5558204,13903,13902,fairway inn,100,29.237460949834105,1.0,1
6203,6203,6203,6456,Golden Corral Buffet & Grill,"GC Partners, Inc.",33525 S. Dixie Highway,Homestead,FL,33034.0,72211.0,152446,1738927,Full-Service Restaurants,1,0.0,0,0.0,0,2012-08-27,2014-08-27,1,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,152447,golden corral buffet & grill,33034,33525,19002,GOLDEN CORRAL,33525 S DIXIE HWY,FLORIDA CITY,33034,D1,23,Dade,2010,2328989,2474020,1,Food,Complaint Full,Inspection Completed - No Further Action,2015-01-29,,,8,0.0,2.0,6.0,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171533,5498541,8309,8308,golden corral,33525,20.272238634675556,0.8928571428571429,1
7519,7519,7519,14348,Super 8 Motel,"Lynchberg Travel Inn, LLC",1202 N Krome Avenue,Homestead,FL,33034.0,721110.0,56381,1622391,Hotels (except Casino Hotels) and Motels,1,0.0,1,4175.6,1,2009-06-17,2011-06-16,1,,4175.6,1,0.0,4175.6,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,56382,super 8 motel,33034,1202,45376,SUPER 8 MOTEL,1202 N KROME AVE,FLORIDA CITY,33034,D1,23,Dade,2010,2333814,2529050,1,Food,Routine - Food,Inspection Completed - No Further Action,2015-07-08,,,5,0.0,3.0,2.0,Y,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898100,5653808,13934,13933,super 8 motel,1202,29.237460949834105,1.0,1
10251,10251,10251,2721,Cajun Cafe,The Cajun Cafe at Tallahassee Mall,"2415 N. Monroe Street, FC12",Tallahassee,FL,32303.0,722211.0,195736,1518786,Limited-Service Restaurants,0,0.0,0,0.0,0,2006-07-30,2008-07-29,0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,195737,cajun cafe,32303,2415,6996,CAJUN GRILL (THE),2415 N MONROE ST FC12,TALLAHASSEE,32303,D6,47,Leon,2010,4702641,2405093,1,Food,Routine - Food,Warning Issued,2014-07-28,,,8,0.0,2.0,6.0,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3271716,5299074,109530,109529,cajun grill (the),2415,20.272238634675556,0.8223529411764706,1
11158,11158,11158,3292,China Super Buffet,"China Super Buffet, Inc.",2698 N. Monroe St.,Tallahassee,FL,32303.0,722110.0,167807,1404564,Full-Service Restaurants,19,0.0,19,31354.0,19,2004-04-03,2006-04-03,19,,31354.0,19,0.0,31354.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,167808,china super buffet,32303,2698,9758,CHINA SUPER BUFFET,2698 N MONROE ST,TALLAHASSEE,32303,D6,47,Leon,2010,4702618,2427636,1,Food,Routine - Food,Inspection Completed - No Further Action,2015-06-03,,,38,4.0,4.0,30.0,Y,0,1,0,0,0,1,0,5,0,2,0,4,0,5,0,1,0,0,0,0,1,1,2,0,3,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5610256,5332370,109506,109505,china super buffet,2698,29.237460949834105,1.0,1
12265,12265,12265,5922,Food Glorious Food,"Fat Orange Cat, LLC",1950 Thomasville Rd Ste C,Tallahassee,FL,32303.0,722110.0,76788,1653089,Full-Service Restaurants,10,0.0,9,637.18,9,2010-07-31,2012-07-30,10,,637.18,9,166.75,470.43,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,76789,food glorious food,32303,1950,17621,FOOD GLORIOUS FOOD,1950 THOMASVILLE RD C,TALLAHASSEE,32303,D6,47,Leon,2010,4702923,2392990,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-08-27,,,9,0.0,5.0,4.0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2198939,5275547,109742,109741,food glorious food,1950,29.237460949834105,1.0,1
15589,15589,15589,13973,Steak N Shake,"Steak N Shake Operations, Inc.",1459 Capital Circle NW,Tallahassee,FL,32303.0,722110.0,59936,1632358,Full-Service Restaurants,4,0.0,2,295.68,2,2010-01-12,2012-01-11,4,,295.68,2,138.98,156.7,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,59937,steak n shake,32303,1459,43318,STEAK N SHAKE #355,1459 CAPITAL CIRCLE NW,TALLAHASSEE,32303,D6,47,Leon,2010,4703228,2414386,3,Food,Routine - Food,Call Back - Complied,2014-10-13,,,10,0.0,4.0,6.0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075155,5389743,110157,110156,steak n shake #355,1459,29.237460949834105,0.9444444444444444,1
16134,16134,16134,14185,Subway Tallahassee Mall,"Subway Endeavors, Inc.",2415 N. Monroe St.,Tallahassee,FL,32303.0,722211.0,200558,1521766,Limited-Service Restaurants,5,1320.0,3,1063.65,2,2006-08-12,2008-08-11,4,,1063.65,2,0.0,1063.65,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1320.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,200559,subway tallahassee mall,32303,2415,43834,SUBWAY,2415 N MONROE ST STE FC11,TALLAHASSEE,32303,D6,47,Leon,2010,4702568,2422967,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-07-28,,,7,2.0,2.0,3.0,Y,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5373630,5325441,109467,109466,subway,2415,20.272238634675556,0.8521739130434783,1
17049,17049,17049,14950,The Other Seinyard,"Sam's Sea Shack, Inc.",1660-6 North Monroe Street,Tallahassee,FL,32303.0,722110.0,91840,1692965,Full-Service Restaurants,2,0.0,1,584.8,1,2011-08-01,2013-05-14,2,,584.8,1,0.0,584.8,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,91841,the other seinyard,32303,1660-6,48531,THE OTHER SEINEYARD,1660-6 NO MONROE,TALLAHASSEE,32303,D6,47,Leon,2010,4703446,2418749,1,Food,Routine - Food,Warning Issued,2014-10-16,,,13,1.0,3.0,9.0,Y,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4389560,5319196,110550,110549,the other seineyard,1660-6,29.237460949834105,0.9894736842105264,1
17598,17598,17598,16167,WaterWorks Bar,Q-Rama INC,1133 Thomasville Road,Tallahassee,FL,32303.0,722410.0,99683,1694274,Drinking Places (Alcoholic Beverages),6,0.0,5,463.45,5,2011-07-10,2013-07-09,6,,463.45,5,0.0,463.45,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,99684,waterworks bar,32303,1133,51524,WATERWORKS,1133 THOMASVILLE RD,TALLAHASSEE,32303,D6,47,Leon,2010,4702852,2392984,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-12-23,,,10,0.0,5.0,5.0,Y,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2198868,5275536,109690,109689,waterworks,1133,29.237460949834105,0.9428571428571428,1
18268,18268,18268,8557,Kosh Resturant,"Kosh Partners, Inc.",9477 Harding Ave.,Miami Beach,FL,33154.0,722110.0,151575,1733627,Full-Service Restaurants,12,0.0,12,9160.08,12,2014-06-08,2014-07-06,12,,9160.08,12,9160.08,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,151576,kosh resturant,33154,9477,25396,KOSH,9477 HARDING AVE,SURFSIDE,33154,D1,23,Dade,2010,2331826,2463363,2,Food,Food-Licensing Inspection,Call Back - Complied,2015-02-05,,,4,0.0,1.0,3.0,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6003033,5471641,10961,10960,kosh,9477,20.272238634675556,0.8571428571428571,1
18334,18334,18334,8916,Le Pine Restaurant LLC,Le Pine Restaurant LLC,1052 Kane Concourse,Bay Harbor Islands,FL,33154.0,722110.0,70799,1659385,Full-Service Restaurants,0,0.0,0,0.0,0,2012-02-01,2012-07-01,0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,70800,le pine restaurant llc,33154,1052,26869,LE PINE,1052 AND 1054 KANE CONCOURSE,BAY HARBOR ISLANDS,33154,D1,23,Dade,2010,2333173,2416882,2,Food,Routine - Food,Call Back - Complied,2014-10-07,,,10,0.0,2.0,8.0,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353535,5432867,12857,12856,le pine,1052,20.272238634675556,0.8636363636363638,1
19146,19146,19146,2229,Boston Lobster Feast,"Bar Harbor Lobster Company, Inc.",6071 W Irlo Bronson Memorial Hwy.,Kissimmee,FL,34747.0,72211.0,89402,1686372,Full-Service Restaurants,59,8140.0,37,55107.52,37,2011-02-21,2013-02-17,58,R,55107.52,37,54847.24,260.28,0.0,8140.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,89403,boston lobster feast,34747,6071,5042,BOSTON LOBSTER FEAST #3,6071 W IRLO BRONSON MEM HWY,KISSIMMEE,34747,D4,59,Osceola,2010,5909766,2393456,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-12-03,,,7,2.0,2.0,3.0,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2223329,5276480,80913,80912,boston lobster feast #3,6071,29.237460949834105,0.9739130434782608,1
